turn,train_acc,test_acc,train_time
5,0.44002,0.3718,2693.2200491428375
5,0.44692,0.3799,2731.1322934627533
5,0.45294,0.378,2769.0589759349823
5,0.4597,0.3798,2806.9160163402557
5,0.46581,0.3842,2844.7913706302643
5,0.47223,0.3832,2882.697183609009
5,0.47621,0.3856,2920.5407280921936
5,0.4794,0.3796,2958.465334415436
5,0.48499,0.3833,2996.2964136600494
5,0.49012,0.389,3034.2517416477203
5,0.49483,0.3895,3072.282723426819
5,0.49429,0.3967,3110.153240919113
5,0.50684,0.3936,3148.002553462982
5,0.50579,0.3964,3185.9319627285004
5,0.51592,0.4024,3223.861328125
5,0.51886,0.401,3261.7450902462006
5,0.52197,0.395,3299.617087841034
5,0.52835,0.4013,3337.508367538452
5,0.52887,0.3996,3375.5090692043304
5,0.53551,0.4054,3413.43590259552
5,0.54315,0.4039,3451.2665796279907
5,0.54591,0.4063,3489.3656029701233
5,0.54204,0.4019,3527.272319316864
5,0.55184,0.4073,3565.125734090805
5,0.55869,0.4003,3603.014961242676
5,0.55656,0.4051,3640.896633863449
5,0.56908,0.4094,3678.7313141822815
5,0.57034,0.4052,3716.618501663208
5,0.57822,0.4119,3754.481127500534
5,0.57651,0.4149,3792.4316368103027
5,0.58233,0.4109,3830.3603987693787
5,0.584,0.4099,3868.324959039688
5,0.58882,0.4065,3906.2666268348694
5,0.5894,0.4106,3944.1204857826233
5,0.59516,0.4099,3982.0298364162445
5,0.59659,0.4092,4019.9405109882355
5,0.60512,0.4162,4057.9073474407196
5,0.60704,0.4155,4095.7237420082092
5,0.61246,0.4199,4133.641731262207
5,0.61324,0.4115,4171.576083183289
5,0.62172,0.419,4209.485018491745
5,0.62324,0.4165,4247.404532432556
5,0.6235,0.4119,4285.250873565674
5,0.62822,0.4193,4323.1327838897705
5,0.6341,0.4214,4361.035147190094
5,0.63126,0.4158,4398.919239997864
5,0.63835,0.4177,4436.822725772858
5,0.64006,0.4196,4474.698868751526
5,0.64462,0.4218,4512.633560657501
5,0.65102,0.4205,4550.480937004089
5,0.65216,0.4201,4588.374278306961
5,0.65417,0.423,4626.278097867966
5,0.66076,0.4234,4664.140242099762
5,0.65864,0.4224,4702.011422634125
5,0.66466,0.4205,4740.0154066085815
5,0.66649,0.4177,4777.949254274368
5,0.67133,0.4241,4815.790756225586
5,0.66614,0.4174,4853.741866111755
5,0.67219,0.4205,4891.725142240524
5,0.67697,0.428,4929.685839414597
5,0.67767,0.4247,4967.620068311691
5,0.68109,0.4247,5005.485502243042
5,0.68356,0.4231,5043.390526533127
5,0.68245,0.4189,5081.386500597
5,0.68864,0.4202,5119.277004957199
5,0.69299,0.4235,5157.184277534485
5,0.69159,0.4232,5195.155256986618
5,0.6986,0.4238,5233.016069412231
5,0.69827,0.4221,5270.938967704773
5,0.70004,0.4212,5308.947178840637
5,0.70242,0.422,5346.876304388046
5,0.69383,0.4137,5384.804993391037
5,0.70595,0.426,5422.703577280045
5,0.71214,0.4207,5460.577586889267
5,0.71085,0.4237,5498.512601852417
5,0.70781,0.4203,5536.5329575538635
5,0.71387,0.422,5574.4032917022705
5,0.71604,0.4216,5612.2691514492035
5,0.71614,0.4179,5650.1161732673645
5,0.7202,0.4211,5687.99954533577
5,0.72439,0.4243,5725.889941930771
5,0.72383,0.422,5763.810178279877
5,0.72362,0.4249,5801.672472238541
5,0.72966,0.427,5839.602146625519
5,0.72901,0.4206,5877.516063690186
5,0.7306,0.4195,5915.424685239792
5,0.73118,0.4202,5953.296222925186
5,0.73233,0.426,5991.14661192894
5,0.73481,0.424,6029.10644865036
5,0.73881,0.4206,6066.97932267189
5,0.73859,0.4269,6104.984126567841
5,0.73831,0.4218,6142.965749263763
5,0.74252,0.4257,6180.850685119629
5,0.74352,0.4257,6218.810862541199
5,0.74541,0.4259,6256.809606790543
5,0.74262,0.4206,6294.75154709816
5,0.74826,0.4247,6332.664203882217
5,0.74635,0.4215,6370.588099241257
5,0.74927,0.424,6408.403102874756
5,0.74948,0.4245,6446.268949270248
5,0.75363,0.4264,6484.209242105484
5,0.75489,0.4231,6522.168201446533
5,0.75312,0.4277,6560.124005079269
5,0.75499,0.4226,6598.091026306152
5,0.75567,0.4311,6636.000079393387
5,0.75824,0.4281,6673.945910692215
5,0.75939,0.4277,6711.796001911163
5,0.75646,0.4237,6749.71666765213
5,0.76185,0.4256,6787.606960296631
5,0.76319,0.4253,6825.607212781906
5,0.76285,0.4271,6863.493765830994
5,0.75652,0.4186,6901.424306869507
5,0.76431,0.428,6939.423013448715
5,0.76425,0.4293,6977.351434707642
5,0.76601,0.4275,7015.292297124863
5,0.76759,0.4235,7053.262204885483
5,0.76694,0.4254,7091.184639215469
5,0.76924,0.4246,7129.253467082977
5,0.76727,0.426,7167.152591705322
5,0.7696,0.4261,7205.066808223724
5,0.76945,0.4258,7242.924695968628
5,0.77079,0.4238,7280.833654642105
5,0.77199,0.4267,7318.7305455207825
5,0.77218,0.4252,7356.706721067429
5,0.77369,0.4269,7394.639145851135
5,0.77272,0.423,7432.588511705399
5,0.77437,0.4269,7470.50054526329
5,0.77329,0.4244,7508.361006975174
5,0.77686,0.4208,7546.353060007095
5,0.77514,0.4241,7584.2623591423035
6,0.005,0.005,38.135775566101074
6,0.005,0.005,76.12098813056946
6,0.005,0.005,114.08920240402222
6,0.005,0.005,152.19385814666748
6,0.005,0.005,190.22566652297974
