turn,train_acc,test_acc,train_time
5,0.005,0.005,46.355480670928955
5,0.005,0.005,69.6889238357544
5,0.005,0.005,93.18354296684265
5,0.005,0.005,116.46006417274475
5,0.005,0.005,139.79327249526978
5,0.005,0.005,162.91901683807373
5,0.005,0.005,186.3255751132965
5,0.005,0.005,209.45358443260193
5,0.005,0.005,232.61355590820312
5,0.005,0.005,255.532790184021
5,0.005,0.005,278.7521770000458
5,0.005,0.005,301.96848940849304
5,0.005,0.005,325.04091143608093
5,0.005,0.005,348.2134940624237
5,0.005,0.005,371.61582493782043
5,0.005,0.005,394.615535736084
5,0.005,0.005,417.69757318496704
5,0.005,0.005,440.83348393440247
5,0.005,0.005,464.14897871017456
5,0.005,0.005,486.9111793041229
5,0.00694,0.008,510.17056918144226
5,0.01273,0.0167,533.279815196991
5,0.03945,0.0496,556.4509270191193
5,0.07003,0.0859,579.7622318267822
5,0.09726,0.1147,603.0789513587952
5,0.11393,0.1345,626.2281153202057
5,0.13093,0.1459,649.317831993103
5,0.15238,0.1765,672.3951005935669
5,0.16125,0.1823,695.4844744205475
5,0.17495,0.1947,718.449652671814
5,0.19299,0.2104,741.5346655845642
5,0.20373,0.2262,764.4750084877014
5,0.213,0.234,787.6587374210358
5,0.2298,0.2495,810.7848429679871
5,0.24099,0.2652,833.8374016284943
5,0.24375,0.2601,856.8838601112366
5,0.24657,0.2675,879.9597053527832
5,0.2599,0.2793,902.8777570724487
5,0.26371,0.2848,926.0015153884888
5,0.28797,0.3055,949.159863948822
5,0.2916,0.3057,972.232428073883
5,0.30016,0.3099,995.3783674240112
5,0.29983,0.3114,1018.5714089870453
5,0.30431,0.3234,1041.860097169876
5,0.31758,0.3285,1065.1477048397064
5,0.32257,0.3332,1088.0881700515747
5,0.32021,0.3315,1111.0131857395172
5,0.33982,0.343,1134.1976609230042
5,0.3424,0.3446,1157.2244384288788
5,0.34677,0.3409,1180.375690460205
5,0.35896,0.3558,1203.2062990665436
5,0.35722,0.352,1226.2551124095917
5,0.36387,0.3599,1249.2788217067719
5,0.37637,0.3649,1272.1808161735535
5,0.37754,0.3663,1295.1813173294067
5,0.38237,0.3711,1318.2455611228943
5,0.39048,0.3765,1341.2532305717468
5,0.39107,0.3814,1364.4668889045715
5,0.39769,0.3844,1387.4111094474792
5,0.40196,0.3861,1410.3610932826996
5,0.40748,0.3879,1433.383359670639
5,0.41148,0.3877,1456.3533685207367
5,0.41886,0.3931,1479.3710300922394
5,0.42535,0.3951,1502.3976907730103
5,0.42656,0.3922,1525.4495639801025
5,0.43252,0.3982,1548.4585618972778
5,0.43402,0.398,1571.4655456542969
5,0.44245,0.404,1594.61416888237
5,0.44143,0.3968,1617.6341145038605
5,0.4537,0.4092,1640.627715587616
5,0.45501,0.407,1663.5745661258698
5,0.45997,0.4105,1686.6680750846863
5,0.46512,0.4125,1709.6656510829926
5,0.46676,0.413,1732.8198583126068
5,0.47021,0.4079,1755.7914056777954
5,0.47561,0.4151,1778.8448522090912
5,0.48212,0.4241,1801.8941774368286
5,0.48545,0.4233,1824.937807559967
5,0.48747,0.4192,1848.0691592693329
5,0.49015,0.4276,1871.191883802414
5,0.50028,0.4301,1894.1143283843994
5,0.49802,0.4275,1917.3758635520935
5,0.50411,0.4297,1940.3550925254822
5,0.51088,0.4348,1963.3073875904083
5,0.51226,0.4368,1990.6879739761353
5,0.51385,0.4372,2025.502604484558
5,0.52028,0.4365,2058.0487439632416
5,0.52794,0.443,2080.923122882843
5,0.53015,0.4414,2103.8997967243195
5,0.52812,0.4404,2126.920186519623
5,0.53757,0.4484,2149.876368522644
5,0.53761,0.4361,2172.955765247345
5,0.54037,0.4438,2195.9479525089264
5,0.54552,0.4508,2219.0721023082733
5,0.54927,0.4463,2241.983435869217
5,0.55413,0.4419,2264.9583098888397
5,0.5565,0.4451,2287.8669333457947
5,0.55796,0.4515,2319.0606667995453
5,0.56183,0.4563,2353.601008415222
5,0.56163,0.4507,2383.9811947345734
5,0.56496,0.4503,2407.0299022197723
5,0.57155,0.458,2430.078659057617
5,0.56993,0.4542,2453.107175588608
5,0.57054,0.4568,2476.081938266754
5,0.57743,0.4577,2499.116201400757
5,0.57819,0.4565,2522.089742422104
5,0.58393,0.4585,2545.018011569977
5,0.58637,0.4609,2567.954478740692
5,0.58947,0.4581,2590.9647557735443
5,0.59341,0.4607,2613.870437860489
5,0.59331,0.4598,2636.688670396805
5,0.59753,0.4667,2659.738308906555
5,0.59806,0.4617,2682.8930172920227
5,0.60127,0.4603,2705.819540977478
5,0.60206,0.4632,2728.6341111660004
5,0.60611,0.4632,2751.847236394882
5,0.6087,0.466,2774.91081905365
5,0.61036,0.4629,2797.8808386325836
5,0.61295,0.4651,2820.8667645454407
5,0.61601,0.4639,2843.8110978603363
5,0.61702,0.4678,2866.833386659622
5,0.6211,0.4652,2889.9654824733734
5,0.61803,0.4684,2912.9807965755463
5,0.62129,0.47,2936.0491580963135
5,0.62614,0.4668,2959.1039164066315
5,0.62513,0.4696,2982.1848549842834
5,0.62881,0.4678,3005.1845972537994
5,0.63489,0.4713,3028.18053483963
5,0.63491,0.4676,3051.2167484760284
5,0.63545,0.4713,3074.327554702759
5,0.63782,0.472,3097.303920984268
5,0.63901,0.4699,3120.586471557617
5,0.64018,0.4697,3143.6739780902863
5,0.64089,0.4756,3166.7268369197845
5,0.64695,0.4763,3189.7214748859406
5,0.6444,0.4716,3212.771355867386
5,0.64892,0.4719,3235.6604816913605
5,0.64891,0.4734,3258.647036075592
5,0.65103,0.4712,3281.6375443935394
5,0.65231,0.4724,3304.5844810009003
5,0.65485,0.4713,3327.5576145648956
5,0.65455,0.4681,3350.6354179382324
5,0.65638,0.4711,3373.5663850307465
5,0.65821,0.4727,3396.5343885421753
5,0.65908,0.4739,3419.533210039139
5,0.66196,0.4697,3442.415762901306
5,0.66429,0.4724,3465.473144054413
5,0.66373,0.473,3488.5738396644592
5,0.66561,0.4761,3511.517381668091
5,0.66536,0.474,3534.4423685073853
5,0.66741,0.4748,3557.472878217697
5,0.66938,0.4725,3580.5342342853546
5,0.66759,0.4718,3603.5731699466705
5,0.67246,0.4753,3626.5066866874695
5,0.67191,0.4758,3649.6646213531494
5,0.671,0.4735,3672.6903920173645
5,0.67523,0.4767,3695.7346782684326
5,0.67489,0.4735,3718.722654104233
5,0.67518,0.475,3741.741260290146
5,0.67519,0.4745,3764.7480154037476
5,0.67685,0.4756,3787.8701298236847
5,0.67887,0.471,3810.8513135910034
5,0.67882,0.4729,3833.807724714279
5,0.68127,0.4755,3856.7787144184113
5,0.68106,0.4742,3879.7775328159332
5,0.68253,0.4743,3902.819870710373
5,0.68473,0.4765,3925.8062064647675
5,0.68329,0.477,3948.7937564849854
5,0.68314,0.4759,3971.7610578536987
5,0.6848,0.4742,3994.8903398513794
5,0.68507,0.4764,4017.8739409446716
5,0.68607,0.4766,4040.8947722911835
5,0.68861,0.4782,4063.9140074253082
5,0.68861,0.4801,4086.9683935642242
5,0.68997,0.4801,4109.915575265884
5,0.68878,0.4752,4132.7962346076965
5,0.68939,0.478,4155.77241563797
5,0.69128,0.4783,4178.634380817413
5,0.69133,0.4741,4201.7198531627655
5,0.69306,0.4776,4224.80165553093
5,0.69253,0.4794,4247.648482084274
5,0.6937,0.4777,4270.706380844116
5,0.69443,0.4778,4293.7869782447815
5,0.69446,0.4771,4316.688879728317
5,0.69563,0.4794,4339.629206418991
5,0.69618,0.4781,4362.568186998367
5,0.69492,0.479,4385.535168647766
5,0.69634,0.4777,4408.573646783829
5,0.69818,0.4794,4431.558352231979
5,0.697,0.4771,4454.695811748505
5,0.69805,0.4776,4477.917361974716
5,0.69852,0.4748,4500.950754642487
5,0.69867,0.4764,4523.835267066956
5,0.7004,0.4783,4546.748148202896
5,0.69985,0.4782,4569.751287937164
5,0.70032,0.4792,4592.792334318161
5,0.70072,0.477,4615.655358791351
5,0.70085,0.4777,4638.692747354507
5,0.70146,0.4803,4661.719644546509
6,0.005,0.005,23.12033200263977
6,0.005,0.005,46.09441828727722
6,0.005,0.005,69.1128077507019
6,0.005,0.005,92.0254909992218
6,0.005,0.005,115.15154433250427
6,0.005,0.005,138.17019319534302
6,0.005,0.005,161.34819626808167
6,0.005,0.005,184.37190914154053
6,0.005,0.005,207.36644458770752
6,0.005,0.005,230.35440135002136
6,0.005,0.005,253.51876735687256
6,0.005,0.005,276.537549495697
6,0.005,0.005,299.56444025039673
6,0.005,0.005,322.4772391319275
6,0.005,0.005,345.42052268981934
6,0.005,0.005,368.54752492904663
6,0.005,0.005,391.6274538040161
6,0.005,0.005,414.73996567726135
6,0.005,0.005,437.71116971969604
6,0.005,0.005,460.7130024433136
6,0.00511,0.0054,483.7925019264221
6,0.00558,0.0068,506.75172328948975
6,0.01396,0.0159,529.6828055381775
6,0.02901,0.0356,552.6904561519623
6,0.06596,0.0786,575.7654705047607
6,0.09524,0.1073,598.9239628314972
6,0.12603,0.1461,621.9342341423035
6,0.14605,0.1631,645.0266869068146
6,0.16478,0.1885,668.2012233734131
6,0.17618,0.1976,691.2225382328033
6,0.18426,0.2048,714.2104108333588
6,0.19156,0.2156,737.2945847511292
6,0.20589,0.221,760.362854719162
6,0.21908,0.2337,783.2784247398376
6,0.22312,0.2397,806.399557352066
6,0.23361,0.2478,829.3357448577881
6,0.24713,0.2642,852.2657916545868
6,0.25826,0.2759,875.2266738414764
6,0.26117,0.2759,898.3360641002655
6,0.2645,0.2777,921.3376543521881
6,0.27938,0.2944,944.378470659256
6,0.28905,0.2976,967.5463101863861
6,0.29694,0.309,990.5631654262543
6,0.29888,0.309,1013.5206201076508
6,0.30389,0.3133,1036.6121311187744
6,0.31577,0.3236,1059.6907093524933
6,0.3216,0.322,1082.6665465831757
6,0.32015,0.3256,1105.687641620636
6,0.31863,0.3306,1128.9106776714325
6,0.34275,0.3416,1151.9427325725555
6,0.34362,0.3486,1175.020175933838
6,0.35337,0.356,1198.130439043045
6,0.36244,0.358,1221.2448225021362
6,0.36484,0.3579,1244.3919641971588
6,0.37269,0.3607,1267.3989386558533
6,0.37383,0.3662,1290.3661262989044
6,0.37505,0.3558,1313.398994922638
6,0.38532,0.3732,1336.3577654361725
6,0.39157,0.3718,1359.3060207366943
6,0.39675,0.3782,1382.329800605774
6,0.39864,0.3802,1405.309211730957
6,0.40489,0.3845,1428.3602919578552
6,0.41852,0.3888,1451.2962703704834
6,0.41793,0.3936,1474.2155210971832
6,0.41935,0.3933,1497.2835614681244
6,0.42772,0.3986,1520.199827671051
6,0.43317,0.4036,1543.0848395824432
6,0.44048,0.4111,1566.1912248134613
6,0.44761,0.4118,1589.1992695331573
6,0.44295,0.4111,1612.1867916584015
6,0.45612,0.41,1635.2682554721832
6,0.4588,0.4174,1658.2058444023132
6,0.45831,0.4136,1681.2306849956512
6,0.46624,0.4184,1704.1987302303314
6,0.46815,0.4198,1727.268631696701
6,0.47041,0.4219,1750.1681678295135
6,0.47941,0.4231,1773.0667638778687
6,0.48634,0.4251,1796.1022827625275
6,0.48761,0.4262,1819.1784904003143
6,0.492,0.4299,1842.1773960590363
6,0.49455,0.429,1865.128648519516
6,0.49829,0.4352,1888.211867570877
6,0.50497,0.4346,1911.3548188209534
6,0.50572,0.4358,1934.4911057949066
6,0.5137,0.4359,1957.6214549541473
6,0.51254,0.4418,1980.7592525482178
6,0.52304,0.439,2003.7144708633423
6,0.52248,0.4404,2026.728610277176
6,0.52755,0.4416,2049.5329542160034
6,0.53306,0.4464,2072.4756762981415
6,0.53431,0.443,2095.532084465027
6,0.5362,0.4454,2118.5175218582153
6,0.53759,0.4498,2141.5691080093384
6,0.5418,0.4479,2164.591737985611
6,0.54885,0.4492,2187.597282886505
6,0.55174,0.4483,2210.5812015533447
6,0.5542,0.4546,2233.6464307308197
6,0.55708,0.4525,2256.810868740082
6,0.55762,0.4484,2279.9389147758484
6,0.56523,0.4536,2302.9457817077637
6,0.5669,0.4579,2325.9496603012085
6,0.57006,0.4594,2348.8956632614136
6,0.57265,0.4599,2371.92432141304
6,0.56905,0.4519,2394.81218791008
6,0.57913,0.4594,2417.889324903488
6,0.58374,0.4573,2440.9986436367035
6,0.58516,0.4585,2463.9700083732605
6,0.59012,0.4643,2486.994146823883
6,0.58939,0.4623,2510.0372409820557
6,0.59306,0.4648,2533.093546152115
6,0.5965,0.4659,2556.0750262737274
6,0.60104,0.463,2579.1505510807037
6,0.59934,0.461,2602.2193641662598
6,0.60384,0.4625,2625.23734998703
6,0.60625,0.4635,2648.191931962967
6,0.60818,0.4702,2671.2645597457886
6,0.61204,0.4632,2694.4653692245483
6,0.61583,0.4694,2717.396441936493
6,0.61581,0.4681,2740.5294094085693
6,0.62166,0.4661,2763.6158351898193
6,0.6209,0.4673,2786.57870054245
6,0.62135,0.4677,2809.5054380893707
6,0.6233,0.4684,2832.4583225250244
6,0.62798,0.4701,2855.4086067676544
6,0.62838,0.4701,2878.4913017749786
6,0.63294,0.4737,2901.6684653759003
6,0.63439,0.4721,2924.837372779846
6,0.63663,0.4719,2947.7814877033234
6,0.6375,0.4722,2970.804547071457
6,0.63915,0.473,2993.964201927185
6,0.64191,0.4728,3017.0077197551727
6,0.63927,0.4681,3040.1659376621246
6,0.64489,0.4707,3063.338969230652
6,0.64795,0.4752,3086.3225467205048
6,0.64841,0.4724,3109.268312215805
6,0.64949,0.4747,3132.2879889011383
6,0.65306,0.4762,3155.182760000229
6,0.65175,0.4713,3178.282695531845
6,0.65258,0.4737,3201.161442041397
6,0.65608,0.4745,3224.120587825775
6,0.66058,0.4747,3247.180823802948
6,0.65986,0.4759,3270.1491351127625
6,0.65941,0.473,3293.01601934433
6,0.66129,0.4753,3315.927562236786
6,0.66258,0.4762,3338.859756231308
6,0.66391,0.4757,3361.830154657364
6,0.66526,0.477,3384.752898454666
6,0.66886,0.4752,3407.709281206131
6,0.66687,0.4769,3430.7012186050415
6,0.67086,0.4761,3453.7455286979675
6,0.66987,0.4779,3476.7273218631744
6,0.67367,0.4791,3499.7478919029236
6,0.6741,0.4798,3522.6606974601746
6,0.67596,0.4788,3545.647319316864
6,0.67716,0.4761,3568.6470985412598
6,0.67661,0.4775,3591.8983952999115
6,0.67771,0.4751,3614.8713612556458
6,0.67935,0.478,3637.8601541519165
6,0.6809,0.4798,3661.0068612098694
6,0.68083,0.4753,3684.041889190674
6,0.68346,0.4766,3707.0796897411346
6,0.68199,0.4781,3730.249069213867
6,0.68507,0.4794,3753.1708111763
6,0.68626,0.4765,3776.2229602336884
6,0.6861,0.4814,3799.3010034561157
6,0.68723,0.4799,3822.270584821701
6,0.68772,0.4792,3845.3678069114685
6,0.68979,0.4795,3868.3725321292877
6,0.69167,0.4788,3891.378298521042
6,0.69086,0.4799,3914.4826934337616
6,0.69012,0.4775,3937.5628712177277
6,0.69154,0.4798,3960.4435942173004
6,0.69185,0.4804,3983.4864914417267
6,0.6941,0.4791,4006.598049402237
