turn,train_acc,test_acc,train_time
3,0.97071,0.502,4967.340026140213
3,0.97056,0.5027,5002.575994729996
3,0.97211,0.5027,5037.812522172928
3,0.9713,0.5055,5073.005759239197
3,0.97152,0.504,5108.2074842453
3,0.97222,0.5005,5143.418810844421
3,0.97165,0.5011,5178.610991716385
3,0.97401,0.5032,5213.769634008408
3,0.97443,0.5064,5248.928692817688
3,0.9736,0.4995,5284.189147472382
3,0.97374,0.5007,5319.434574127197
3,0.97431,0.5049,5354.660849571228
3,0.97598,0.5037,5389.8783185482025
3,0.97627,0.5054,5425.04762172699
3,0.97669,0.5008,5460.184508800507
3,0.97602,0.5012,5495.40114402771
3,0.978,0.4972,5530.605273008347
3,0.9774,0.5046,5565.825879573822
3,0.97763,0.5037,5600.97416305542
3,0.97709,0.5028,5636.169578552246
3,0.97868,0.4996,5671.408829689026
3,0.97822,0.5026,5706.595420598984
3,0.9789,0.5054,5741.793383359909
3,0.97948,0.5061,5776.971615314484
3,0.97952,0.5064,5812.149840354919
3,0.97911,0.5053,5847.34058880806
3,0.9795,0.5042,5882.547036647797
3,0.98025,0.5077,5917.75861287117
3,0.98072,0.505,5952.949144601822
3,0.98166,0.5056,5988.136955738068
3,0.98105,0.5038,6023.356961011887
3,0.98124,0.5078,6058.5195569992065
3,0.98106,0.504,6093.750728845596
3,0.98126,0.5039,6128.981827497482
3,0.98164,0.5063,6164.209786891937
3,0.98222,0.5068,6199.387209177017
3,0.98195,0.5075,6234.628648281097
3,0.98251,0.5059,6269.863130331039
3,0.98266,0.5081,6305.021940469742
3,0.98326,0.5088,6340.281136035919
3,0.98297,0.5072,6375.501993656158
3,0.98329,0.5082,6410.645178556442
3,0.98336,0.5069,6445.916358232498
3,0.9833,0.5104,6481.110237598419
3,0.98347,0.5087,6516.32697725296
3,0.98375,0.5069,6551.567211151123
3,0.98427,0.5128,6586.77975320816
3,0.98371,0.5081,6621.860506057739
3,0.98435,0.5089,6657.099945306778
3,0.98472,0.5071,6692.257654428482
3,0.98446,0.5081,6727.425535917282
3,0.98322,0.5077,6762.675213336945
3,0.98469,0.509,6797.8304271698
